Year,Income,NI,VAT,Corp,Other
1900,1.5,0.0,0.0,0.0,8.7
1910,1.8,0.0,0.0,0.0,10.2
1920,6.0,0.0,0.0,2.5,19.5
1930,5.0,0.5,0.0,1.5,16.5
1940,10.0,1.0,0.0,4.0,15.0
1945,18.0,1.5,0.0,5.0,18.5
1950,14.0,2.5,0.0,4.0,16.0
1960,11.0,3.0,0.0,3.0,13.5
1970,12.5,3.5,0.0,3.5,17.0
1973,11.0,4.0,1.5,3.0,11.5
1975,12.0,5.0,2.0,2.0,14.0
1980,10.0,5.5,3.5,3.5,11.0
1985,9.5,6.0,4.5,4.5,11.0
1990,9.5,5.5,4.5,3.0,10.5
1995,9.0,5.5,5.0,2.5,10.0
2000,10.0,6.0,5.5,3.0,10.0
2005,10.5,6.5,5.5,3.2,9.3
2010,9.5,6.5,5.0,2.5,11.0
2015,9.0,6.0,6.0,2.3,11.7
2020,9.0,6.5,6.0,2.5,12.5
2024,9.5,6.8,6.5,3.2,11.4
2025,9.6,6.8,6.6,3.3,11.2
